date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,detected_language,sentiment,helpful_flag,clean_text
,Between operation our feel act.,concern entire sea safe true town car debate ok mr sit plant cultural bring bar,4,hcallahan,3,79,Amazon,ja,Saint Helena,4.1.8,Yes,en,positive,Not Helpful (≤10),concern entire sea safe true town car debate ok mr sit plant cultural bring bar
2025-03-07,Assume it fight understand.,crime south pass lead senior manage computer medical exist population mother game question personal bear series consider accord throw meeting,5,rpeterson,133,141,Flipkart,ja,Martinique,2.2.4,No,en,positive,Helpful (>10),crime south pass lead senior manage computer medical exist population mother game question personal bear series consider accord throw meeting
,He fill risk stop firm.,cover board discussion film figure short line range decision public food court commercial citizen production listen organization indicate risk director enjoy,3,ronald66,126,157,Flipkart,es,Albania,2.6.4,No,en,neutral,Helpful (>10),cover board discussion film figure short line range decision public food court commercial citizen production listen organization indicate risk director enjoy
,Blood during for look return.,area impact position cause lead stand dark product strategy focus nice current democrat,3,ccrane,123,87,Google Play,zh,Slovakia (Slovak Republic),3.3.7,Yes,en,neutral,Helpful (>10),area impact position cause lead stand dark product strategy focus nice current democrat
2025-05-06,Foreign national produce news stage.,reach train main exactly parent heart big policy everybody hard book care seek foot simple include charge character federal customer,4,taylorkayla,27,132,Flipkart,hi,Trinidad and Tobago,1.6.5,No,en,positive,Helpful (>10),reach train main exactly parent heart big policy everybody hard book care seek foot simple include charge character federal customer
,Not yet where.,guess significant section democrat fly direction gun current effort section age budget improve main answer tree mention,3,kristy74,112,119,Amazon,ja,Montserrat,5.2.4,No,en,neutral,Helpful (>10),guess significant section democrat fly direction gun current effort section age budget improve main answer tree mention
,Practice authority possible fund.,north wind sister mother life practice course authority range stand letter,5,zpreston,177,74,Flipkart,ar,Montserrat,3.2.6,No,en,positive,Helpful (>10),north wind sister mother life practice course authority range stand letter
,Music west force firm.,hope follow character talk purpose force leader program great test check significant deal consider ago suddenly,3,dominiqueharris,188,111,App Store,pt,Central African Republic,2.5.6,No,en,neutral,Helpful (>10),hope follow character talk purpose force leader program great test check significant deal consider ago suddenly
,Clear decide wait scientist.,turn sign agree want way agent land human day sport behavior compare tree right,4,kara56,93,79,Google Play,pt,Comoros,2.9.8,Yes,en,positive,Helpful (>10),turn sign agree want way agent land human day sport behavior compare tree right
,Role today animal suggest concern.,son growth effort bear lead account sound growth finally assume watch present director red practice special administration,5,andersoneric,6,122,App Store,de,Puerto Rico,4.4.1,No,en,positive,Not Helpful (≤10),son growth effort bear lead account sound growth finally assume watch present director red practice special administration
,Marriage fill personal.,article sort term produce increase information company million character speak protect half understand skill,4,christy00,35,108,Amazon,de,Greenland,3.2.6,No,en,positive,Helpful (>10),article sort term produce increase information company million character speak protect half understand skill
2024-09-01,Light total campaign prevent half party respond.,trial help modern citizen address today begin write key tax speak a.,1,kvasquez,114,68,Website,ar,Congo,5.6.8,No,en,negative,Helpful (>10),trial help modern citizen address today begin write key tax speak a
,Foreign hear certainly say.,method south central process sea response executive past difficult continue process forget wind property mind officer service,5,adkinslauren,9,125,Amazon,ru,Niue,5.1.1,Yes,en,positive,Not Helpful (≤10),method south central process sea response executive past difficult continue process forget wind property mind officer service
,Effort southern maintain nature.,woman add play structure activity lose thank wife yeah law enjoy key seat pretty method,3,barnettmatthew,42,87,Website,en,Malaysia,5.6.5,No,en,neutral,Helpful (>10),woman add play structure activity lose thank wife yeah law enjoy key seat pretty method
,Consumer star those memory center quite simply.,site interview agent window build require girl laugh network vote,1,jessicagomez,2,65,Google Play,hi,Nepal,2.8.8,Yes,en,negative,Not Helpful (≤10),site interview agent window build require girl laugh network vote
,Interest dark any wide husband hope miss instead.,mouth young hear close plant peace successful charge walk,4,imcdonald,95,57,App Store,ar,Saint Helena,5.8.2,No,en,positive,Helpful (>10),mouth young hear close plant peace successful charge walk
,Strong audience white everybody throughout.,edge new find type party arrive improve lose civil hospital city industry option,1,barberbrenda,123,80,Google Play,hi,Peru,4.1.1,Yes,en,negative,Helpful (>10),edge new find type party arrive improve lose civil hospital city industry option
,Letter one then reality some serve different billion.,kitchen public set action bring find bill pick discussion state particular child senior result american study,3,john76,79,109,Amazon,ar,Italy,2.8.7,No,en,neutral,Helpful (>10),kitchen public set action bring find bill pick discussion state particular child senior result american study
2024-06-04,Parent not parent that property among blue.,tend exactly right edge meet information work bar big south drug manager opportunity program billion sit remain,4,johnstondavid,24,111,App Store,ar,Serbia,3.1.4,Yes,en,positive,Helpful (>10),tend exactly right edge meet information work bar big south drug manager opportunity program billion sit remain
,Piece forget factor.,oil remember page spring responsibility positive key leave tell vote spend physical sing protect agent note,1,upham,5,107,Amazon,es,Korea,2.3.8,Yes,en,negative,Not Helpful (≤10),oil remember page spring responsibility positive key leave tell vote spend physical sing protect agent note
,Goal Mrs source whole first figure.,grow raise good everybody situation foot recognize play decide natural focus husband spring suddenly task,5,fowlerlawrence,40,105,Amazon,ru,Luxembourg,4.7.3,No,en,positive,Helpful (>10),grow raise good everybody situation foot recognize play decide natural focus husband spring suddenly task
,Cup bed our theory.,series dark task magazine guess city follow bear ok training record night series mrs huge,2,jphelps,47,89,App Store,ja,Saint Barthelemy,1.9.3,No,en,negative,Helpful (>10),series dark task magazine guess city follow bear ok training record night series mrs huge
,Father who tax.,government card history suddenly save theory party wife food different step nature property event manager street work early difficult possible democratic,5,amassey,109,153,App Store,en,Micronesia,2.3.4,Yes,en,positive,Helpful (>10),government card history suddenly save theory party wife food different step nature property event manager street work early difficult possible democratic
,Remain movement bit step direction give reduce.,court control million offer total hit end hair soon issue hair floor ground care team worry east mrs wonder,5,stevenandrews,26,107,Website,fr,Austria,3.5.3,No,en,positive,Helpful (>10),court control million offer total hit end hair soon issue hair floor ground care team worry east mrs wonder
,Form now then watch certain.,opportunity ask large practice time live relationship great western water road require region wall worry democrat laugh mrs.,1,michelle90,67,124,App Store,ru,Rwanda,3.9.6,No,en,negative,Helpful (>10),opportunity ask large practice time live relationship great western water road require region wall worry democrat laugh mrs
2024-07-03,Recent catch gas benefit great religious.,simple audience include claim create woman similar writer ahead rock forward idea red rate source,5,victor24,29,97,Amazon,zh,Iran,4.9.2,No,en,positive,Helpful (>10),simple audience include claim create woman similar writer ahead rock forward idea red rate source
,Wish best raise choice hear.,goal positive bank later election article arrive health collection white agree teacher western country consider,5,patriciamccarthy,151,111,Google Play,fr,Turkmenistan,3.1.3,No,en,positive,Helpful (>10),goal positive bank later election article arrive health collection white agree teacher western country consider
